timestamp,coordinates,vehicle_class,car_model_1,car_model_1_accuracy,car_model_2,car_model_2_accuracy,confidence,color_1,color_1_accuracy,color_2,color_2_accuracy,plate_number,plate_confidence,char_confidences,vehicle_image,plate_image
2025-04-25 00:47:38,"(1,3)-(1913,1052)",car,KIA_K5_2011-2015,0.8549085259437561,Chevy_Volt_2011-2015,0.11421478539705276,0.9035192728042603,green,0.5202839970588684,blue,0.3899005651473999,7231UTJ,0.8915172219276428,0.869630753993988,"[0.9260363578796387, 0.9037166833877563, 0.8952397108078003, 0.8726450800895691, 0.8530539870262146, 0.8444056510925293, 0.792317807674408]",detections/20250425-004729_vehicle.jpg,detections/20250425-004729_plate.jpg
2025-04-25 00:47:44,"(0,3)-(1915,1051)",car,Chevy_Volt_2011-2015,0.9722563028335571,KIA_K5_2011-2015,0.024675512686371803,0.9104894399642944,green,0.9216809272766113,blue,0.0468004085123539,7231UTJ,0.8980836868286133,0.8918772850717817,"[0.9403554201126099, 0.9260903596878052, 0.9091792702674866, 0.9076268672943115, 0.900679886341095, 0.8459734320640564, 0.8132357597351074]",detections/20250425-004741_vehicle.jpg,detections/20250425-004741_plate.jpg
2025-04-25 00:47:50,"(0,3)-(1917,1048)",car,Nissan_Teana_2008-2014,0.8450173139572144,KIA_K5_2011-2015,0.1441812813282013,0.9098504185676575,blue,0.495238721370697,green,0.32432764768600464,7231UTJ,0.8871415257453918,0.8886879427092416,"[0.9255411624908447, 0.9075833559036255, 0.9022660851478577, 0.9022613763809204, 0.8724290728569031, 0.8579210638999939, 0.8528134822845459]",detections/20250425-004747_vehicle.jpg,detections/20250425-004747_plate.jpg
2025-04-25 00:47:56,"(0,3)-(1917,1050)",car,KIA_K5_2011-2015,0.970955491065979,Nissan_Teana_2008-2014,0.02771907113492489,0.9191229343414307,green,0.5182639956474304,blue,0.3719269335269928,7231UTJ,0.8863382339477539,0.8838555812835693,"[0.9259655475616455, 0.9193735718727112, 0.8887538313865662, 0.8880953788757324, 0.8635770678520203, 0.8524357676506042, 0.8487879037857056]",detections/20250425-004753_vehicle.jpg,detections/20250425-004753_plate.jpg
2025-04-25 00:48:02,"(3,5)-(1917,1049)",car,KIA_K5_2011-2015,0.6051828861236572,Cadillac_ELR_2014,0.3940727710723877,0.8611682653427124,green,0.548898458480835,blue,0.2754532992839813,7231UTJ,0.8905929327011108,0.8725831593785968,"[0.9160766005516052, 0.8873245120048523, 0.8850142955780029, 0.8714832067489624, 0.8596423864364624, 0.8500752449035645, 0.8384658694267273]",detections/20250425-004759_vehicle.jpg,detections/20250425-004759_plate.jpg
2025-04-25 00:48:51,"(114,7)-(1917,1059)",car,Cadillac_ELR_2014,0.9945476055145264,Ford_Flex_2004-2013,0.003418343374505639,0.9055087566375732,blue,0.9963712692260742,green,0.0012763942359015346,,0.8693029880523682,0.0,[],detections/20250425-004849_vehicle.jpg,detections/20250425-004849_plate.jpg
2025-04-25 00:48:57,"(3,3)-(1917,1049)",car,KIA_K5_2011-2015,0.9714000821113586,Chevy_Volt_2011-2015,0.0126380929723382,0.8988277316093445,green,0.5749924778938293,blue,0.23241961002349854,7231UTJ,0.8917898535728455,0.8842631919043404,"[0.9218037724494934, 0.9167104363441467, 0.9036309719085693, 0.90196293592453, 0.8742985725402832, 0.8419278860092163, 0.8295077681541443]",detections/20250425-004854_vehicle.jpg,detections/20250425-004854_plate.jpg
2025-04-25 00:49:03,"(2,4)-(1919,1051)",car,KIA_K5_2011-2015,0.9405631422996521,Honda_Crider_2013-2015,0.03649815544486046,0.8958153128623962,green,0.7439468502998352,blue,0.11673029512166977,7231UTJ,0.8918489217758179,0.8779626914433071,"[0.9328914880752563, 0.9276048541069031, 0.8875764012336731, 0.8735753893852234, 0.8682038187980652, 0.8341787457466125, 0.8217081427574158]",detections/20250425-004900_vehicle.jpg,detections/20250425-004900_plate.jpg
2025-04-25 00:49:08,"(1,2)-(1917,1050)",car,KIA_K5_2011-2015,0.8125137686729431,Hyundai_Genesis_2015,0.16013434529304504,0.8965903520584106,green,0.6614488959312439,blue,0.27930814027786255,7231UTJ,0.8864035606384277,0.88754688841956,"[0.9271926879882812, 0.9211612343788147, 0.91219162940979, 0.8981177806854248, 0.8788674473762512, 0.8704943060874939, 0.8048031330108643]",detections/20250425-004906_vehicle.jpg,detections/20250425-004906_plate.jpg
2025-04-25 00:49:22,"(43,2)-(1915,1056)",car,Cadillac_ELR_2014,0.980067789554596,KIA_K5_2011-2015,0.011812474578619003,0.9531407356262207,black,0.8374522924423218,green,0.1355580985546112,7231UT,0.914320707321167,0.8500643273194631,"[0.9385297298431396, 0.914018452167511, 0.8916234970092773, 0.8646550178527832, 0.8261284828186035, 0.6654307842254639]",detections/20250425-004919_vehicle.jpg,detections/20250425-004919_plate.jpg
